function,job_id,http_upload,final_status,elapsed_s
pf1,f792ed76-8623-453c-87ba-bb0dd902a261,201,finished:dl200,15
pf2,db22c24d-1387-4e51-9e73-cda222ebc7c0,201,finished:dl200,21
pf3,38287755-bd72-4bb9-87b1-c1c0c96cf8c2,201,finished:dl200,30
pf4,506513b8-b928-4106-88ec-1e4779eb6f60,201,finished:dl200,21
pf5,7e61a352-b81f-405d-9fdf-9168872a0a28,201,finished:dl200,36
pf6,9538d7bf-3aea-4f05-ab3d-f6f90e9cb6b6,201,finished:dl200,19
pf7,40b4e247-6992-456e-afb2-5a2eed09946a,201,finished:dl200,87
pf8,8070afea-7d98-4e26-847e-82c6bc8ee167,201,finished:dl406,112
pf9,816df73d-5486-49b5-a691-6aa12ede4131,201,finished:dl200,30
pf10,9a9b7773-30b6-44d1-9983-c6bcbab99a5b,201,finished:dl406,103
pf11,95f302a5-58fd-495a-909c-d1016e9e61eb,201,finished:dl406,78
pf12,9443b083-cb78-4959-a897-07421d6a3bfd,201,finished:dl200,36
pf13,b7a3cbdc-fb20-4b51-905c-69c07d47cf88,201,finished:dl200,15
pf14,ae7f16a5-e61d-4df4-9ea3-96b00787542b,201,finished:dl406,169
