function,job_id,http_upload,final_status,elapsed_s
pf1,1aeed637-bfb3-4fba-826c-95292a25286a,201,finished:dl200,9
pf2,600f3448-6c1d-45a7-9bc5-573242384355,201,finished:dl200,12
pf3,89832454-2383-4b21-8355-e910631f093c,201,finished:dl200,16
pf4,a1a7b32b-2386-4104-be2d-d47653106ae2,201,finished:dl200,9
pf5,687b78d6-743b-4222-ac12-a78b4421b994,201,finished:dl200,15
pf6,b7796726-20d2-478f-b4cb-fa8b4039774b,201,finished:dl200,12
pf7,ba8c85ab-b29d-4572-b338-99f5de051a58,201,finished:dl200,57
pf8,70d28905-b8ed-4b01-af8d-0e2e80d8ed79,201,finished:dl406,64
pf9,b02c0c5e-e049-4a2c-b0a3-cacbc9a0eabf,201,finished:dl200,21
pf10,14123ce1-62be-4c71-9a8f-9d6db8d023ed,201,finished:dl406,78
pf11,7215d109-bcd1-4c90-b920-45dd3405d476,201,finished:dl200,15
pf12,4ab36bb7-5aac-4ee3-a78a-9951cc3ef053,201,finished:dl200,18
pf13,127b8016-6030-4e77-bb5d-cfd06792036f,201,finished:dl200,9
pf14,f68630f8-7fc7-4cc4-97b7-794e1bc067be,201,finished:dl406,67
